Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776815100.6151068,131.94,-5.75,13.38,6.88,3200.0
1776815100.7429876,2.0,-5.75,13.0,6.88,3200.0
1776815100.80539,75.0,-6.0,12.06,6.91,3200.0
1776815101.0579,125.0,-7.31,10.75,6.94,3200.0
1776815101.2494476,122.25,-6.94,10.94,6.98,3200.0
1776815101.329252,121.5,-6.75,11.31,6.89,3200.0
1776815101.644518,124.0,-4.62,13.69,6.94,3200.0
1776815101.7716682,124.25,-4.62,14.56,6.99,3200.0
1776815101.8346746,124.44,-4.69,14.75,6.89,3200.0
1776815101.9572358,124.94,-4.56,14.31,6.9,3200.0
1776815102.0894685,125.12,-5.0,13.44,6.95,3200.0
1776815102.3006659,125.94,-5.69,12.25,6.94,3200.0
1776815102.3513076,126.31,-5.87,12.5,6.98,3200.0
1776815102.4726994,126.69,-6.06,13.13,6.9,3200.0
1776815102.8058908,127.56,-5.94,14.44,6.91,3200.0
1776815102.8702104,128.12,-6.25,14.69,6.99,3200.0
1776815102.9980893,128.44,-6.44,14.63,6.96,3200.0
1776815103.188352,129.5,-6.56,14.25,6.9,3200.0
1776815103.3162458,130.0,-6.62,14.06,6.92,3200.0
1776815103.4426572,130.0,-6.75,14.13,6.97,3200.0
1776815103.506197,129.69,-7.12,14.56,6.92,3200.0
1776815103.6324613,129.31,-7.69,14.69,6.9,3200.0
1776815103.6962812,129.12,-7.81,14.38,7.02,3200.0
1776815103.9600866,128.75,-7.94,13.19,6.9,3200.0
1776815104.0147405,128.94,-7.62,12.81,6.96,3200.0
1776815104.3298273,132.12,-6.5,12.44,6.91,3200.0
1776815104.51985,132.69,-6.44,11.56,6.88,3200.0
1776815104.6456423,133.25,-5.75,10.94,6.96,3200.0
1776815104.772322,138.75,-4.5,11.31,6.93,3200.0
1776815105.08966,155.25,-3.5,14.63,6.9,3200.0
1776815105.2810192,165.06,-4.12,13.81,7.0,3200.0
1776815105.392123,169.81,-4.12,14.19,6.88,3200.0
1776815105.584631,179.25,-2.56,16.37,6.89,3200.0
1776815105.712715,182.94,-2.12,17.12,6.88,3200.0
1776815105.7752013,185.81,-2.44,17.69,6.88,3200.0
1776815105.9034095,188.5,-3.44,17.75,6.87,3200.0
1776815106.028246,56.0,-4.81,17.06,6.85,3200.0
1776815106.091873,194.5,-7.06,16.12,6.92,3200.0
1776815106.1714094,195.06,-10.06,15.56,6.95,3200.0
1776815106.503329,193.87,-11.81,20.87,6.88,3200.0
1776815106.630143,194.06,-12.06,24.69,6.88,3200.0
1776815106.6935525,192.69,-11.75,28.81,6.89,3200.0
1776815106.9391747,185.31,-12.44,32.75,6.88,3200.0
1776815107.011051,178.44,-14.25,32.13,6.9,3200.0
1776815107.327949,160.25,-18.0,23.37,6.91,3200.0
1776815107.4388688,158.4,-16.75,22.62,6.94,3200.0
1776815107.566111,157.62,-15.63,22.94,6.87,3200.0
1776815107.642594,157.25,-14.69,23.75,6.92,3200.0
1776815107.8363922,156.62,-13.25,26.06,6.88,3200.0
1776815107.9589005,156.25,-12.5,27.0,6.94,3200.0
1776815108.15282,155.94,-10.56,28.12,7.0,3200.0
1776815108.2801561,156.12,-9.31,27.75,6.88,3200.0
1776815108.359117,156.5,-8.13,26.12,6.9,3200.0
1776815108.547659,157.75,-6.25,17.87,6.92,3200.0
1776815108.674573,157.87,-5.62,13.25,6.9,3200.0
1776815108.8009663,157.69,-5.5,9.88,6.94,3200.0
1776815108.864234,2.0,-5.81,8.19,6.9,3200.0
1776815109.1182518,155.75,-6.75,8.06,6.9,3200.0
1776815109.182004,155.37,-7.06,8.44,6.88,3200.0
