Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776819475.1718905,1.0,-7.69,-3.69,7.37,1170.3
1776819475.2193608,343.44,-7.06,-5.12,6.88,3200.0
1776819475.4079716,6.0,-10.69,-17.69,7.34,1606.4
1776819475.5443716,345.44,-9.94,-13.69,7.46,930.6
1776819475.8674834,346.94,-8.13,3.44,7.39,1264.0
1776819476.0538075,348.0,-8.13,3.87,7.41,1329.3
1776819476.2369194,7.0,-8.13,3.5,7.39,1457.0
1776819476.373625,0.0,-7.81,3.06,7.36,1372.7
1776819476.5790646,351.94,-7.44,-0.13,6.84,3200.0
1776819477.026612,355.19,-9.06,-14.5,7.44,954.3
1776819477.2167337,7.0,-7.12,-5.56,7.32,1889.4
1776819477.3919244,1.19,-6.5,2.81,7.43,1143.1
1776819477.5824158,6.25,-6.0,2.75,7.38,1748.7
1776819477.7101345,11.69,-6.81,-0.62,7.33,1454.6
1776819477.900779,11.38,-7.81,-6.81,7.4,1319.5
1776819478.092286,8.19,-7.87,-13.94,6.82,3200.0
1776819478.710619,1.69,-7.56,-6.44,7.47,1003.0
1776819478.9005337,1.44,-6.75,-4.25,7.33,1725.8
1776819479.0282085,358.87,-6.19,-3.94,7.4,1474.7
1776819479.203087,356.56,-5.56,-5.69,7.26,10.0
1776819479.4073155,354.87,-7.06,-8.13,7.36,1549.7
1776819479.5350652,352.31,-8.5,-10.69,6.77,3200.0
1776819480.0428164,348.06,-10.56,-16.69,7.42,1182.3
1776819480.4090378,348.12,-7.44,0.0,7.37,1505.6
1776819480.6001751,347.0,-7.56,-0.75,7.36,1515.6
1776819480.8537683,346.69,-7.44,-1.69,7.4,1294.6
1776819481.2346187,44.0,-9.0,-12.38,7.12,2922.3
1776819481.36152,345.5,-10.19,-21.5,7.32,1622.7
1776819481.7432077,346.44,-8.56,-7.44,7.44,1130.1
1776819482.0606587,347.06,-7.75,1.19,7.35,1731.6
1776819482.3938591,348.44,-7.25,0.13,7.36,1556.4
1776819483.0297759,348.69,-9.88,-17.06,7.43,1124.2
1776819483.5393906,354.12,-7.25,2.56,7.38,1567.5
1776819483.7304258,357.19,-7.25,1.12,7.0,1393.8
1776819484.096811,2.12,-7.37,-2.0,6.82,3200.0
1776819484.4145172,4.81,-9.81,-17.5,7.36,1724.5
1776819485.0812335,334.75,-6.44,-0.37,7.38,1591.6
1776819485.2081997,325.81,-5.0,0.37,7.28,2208.4
1776819485.4003675,316.69,-5.87,-1.62,7.37,1295.5
1776819485.5269368,309.62,-7.06,-6.75,6.72,3200.0
1776819485.7176592,25.0,-8.75,-14.38,7.08,3175.1
1776819486.0829275,306.12,-10.19,-16.56,7.45,170.0
1776819486.2108674,306.81,-8.69,-5.37,7.43,912.6
1776819486.5911806,307.06,-7.75,1.56,7.33,1719.1
1776819486.893698,308.25,-7.56,0.75,7.36,1981.7
1776819487.2099662,308.75,-8.56,-8.19,7.06,2996.7
1776819487.4019022,308.5,-10.19,-17.94,7.23,1845.7
1776819488.403663,329.5,-7.19,-0.25,7.35,1803.0
1776819488.9112556,334.25,-9.06,-26.5,7.29,2109.0
1776819489.1016061,336.81,-8.13,-21.44,7.43,1014.7
1776819489.2286198,338.94,-6.75,-16.5,7.36,1491.0
1776819489.5469768,343.87,-7.0,-6.81,7.39,1202.1
1776819490.055843,322.19,-3.75,5.44,6.79,3200.0
1776819490.3740737,314.44,-11.0,2.12,7.38,1306.3
1776819490.5490496,312.5,-8.81,2.44,7.45,1092.6
1776819490.9302468,309.19,-9.19,-2.56,7.37,1607.8
1776819491.0562038,306.06,-7.94,0.0,7.35,1562.8
1776819491.24692,304.69,-6.44,-1.75,7.36,1413.9
1776819491.3745556,303.81,-6.06,-5.62,7.41,1362.1
1776819491.7408154,310.81,-5.62,-11.0,7.11,2917.0
1776819491.867856,316.25,-6.81,-12.56,7.4,130.0
1776819492.3741927,336.25,-3.0,-9.69,7.38,1190.2
1776819492.550467,344.37,-2.62,-11.81,7.4,1668.0
1776819492.7401154,346.44,0.44,-12.31,7.39,1386.7
1776819492.931145,340.87,3.62,-10.63,7.35,1513.1
1776819493.3734217,317.19,-10.81,-2.31,7.42,1043.3
1776819493.5477388,312.12,-9.88,1.0,7.0,1037.7
1776819493.86481,303.87,-9.88,-1.31,7.41,1238.2
1776819494.0546172,303.5,-9.38,-3.06,7.36,128.1
1776819494.3738081,302.81,-7.37,-2.12,7.4,1251.7
1776819494.5492232,301.56,-6.62,-3.75,6.84,3200.0
1776819495.0567455,301.62,-7.56,-0.56,7.45,1084.0
1776819495.2473114,303.62,-8.0,-1.94,7.39,1254.4
