Timestamp,Yaw,Pitch,Roll,Voltage,Current_mA
1776817597.402014,316.75,-9.38,3.75,6.86,3200.0
1776817597.6097283,319.06,-11.25,7.94,7.14,2949.4
1776817597.9192872,322.62,-12.75,1.12,7.51,10.0
1776817598.1190097,324.31,-11.06,-1.69,7.5,1231.7
1776817598.40815,326.87,-10.5,1.69,7.57,909.9
1776817598.599359,327.87,-10.19,6.44,7.56,775.3
1776817598.7248507,329.69,-8.63,12.63,6.71,3200.0
1776817598.9161642,333.0,-6.94,22.19,6.83,3200.0
1776817599.1063564,339.37,-5.69,36.19,7.08,3200.0
1776817599.4097729,352.12,-4.44,34.06,7.56,941.0
1776817599.600593,351.25,-2.31,25.44,7.53,987.0
1776817599.727648,346.69,-3.06,15.19,7.54,859.6
1776817599.9107342,341.06,-3.62,11.63,7.62,824.0
1776817600.1009676,6.0,-5.56,9.44,7.59,763.2
1776817600.2924387,332.0,-5.87,8.94,6.85,3200.0
1776817600.710373,331.81,-7.5,8.38,7.53,969.1
1776817601.0896752,322.5,-6.75,6.25,7.56,870.8
1776817601.6109898,313.37,-10.56,-0.19,7.56,949.0
1776817601.7381978,0.0,-11.94,1.75,6.82,3200.0
1776817601.9287674,312.56,-12.75,13.81,6.88,3200.0
1776817602.1204486,315.62,-12.94,27.56,7.08,3200.0
1776817602.7562008,316.19,-10.44,6.12,7.59,955.6
1776817602.8843966,313.75,-9.0,-1.25,7.27,2148.3
1776817603.073526,320.0,-4.94,-4.62,7.54,1182.4
1776817603.2635555,327.31,-2.87,-8.31,6.76,3200.0
1776817603.3909454,334.87,-3.81,-3.69,6.9,3200.0
1776817603.5968485,345.75,-6.75,9.44,7.17,3200.0
1776817603.7265966,352.69,-9.25,10.13,7.5,1271.2
1776817603.9176104,9.0,-7.44,9.38,7.4,2146.2
1776817604.1084704,352.94,-5.5,6.31,7.49,1923.3
1776817604.2515676,349.94,-4.62,0.88,7.56,972.2
1776817604.6315145,336.12,-6.75,-6.75,7.48,1328.7
1776817604.7581575,2.0,-9.5,-4.37,6.67,3200.0
1776817604.8847296,325.25,-13.25,4.25,6.84,3200.0
1776817605.0776641,321.87,-11.63,10.69,7.2,2982.3
1776817605.2208903,319.06,-11.06,6.69,7.46,1628.6
1776817605.4118533,317.37,-9.94,4.31,7.3,2468.8
1776817605.6016917,94.0,-10.0,1.25,7.56,961.2
1776817605.7296138,317.5,-10.69,-2.37,7.57,1012.1
1776817605.920348,319.69,-10.38,-4.5,7.58,923.7
1776817606.2390904,322.44,-9.38,-4.69,6.9,3200.0
1776817606.4298513,323.69,-10.13,4.44,6.87,3200.0
1776817606.6201348,1.0,-11.0,15.13,7.13,3200.0
1776817606.7463982,327.06,-12.06,18.5,7.52,1068.2
1776817606.938133,327.81,-11.06,19.06,7.26,2629.4
1776817607.0645618,328.5,-9.63,16.0,7.53,1075.5
1776817607.4471867,329.06,-9.13,4.94,7.51,1036.6
1776817607.5738459,329.25,-9.19,2.31,7.57,774.1
1776817607.9545238,332.12,-9.31,12.63,6.91,3200.0
1776817608.2706373,342.44,-11.25,30.31,7.11,3200.0
1776817608.4619849,6.0,-9.13,27.44,7.57,908.9
1776817608.5884025,352.12,-5.19,22.25,7.37,1952.1
1776817608.7786338,355.5,-3.12,13.56,7.57,910.2
1776817608.9057198,357.5,-2.56,6.0,7.37,1852.3
1776817609.0956826,358.5,-2.94,0.06,7.55,889.8
1776817609.2225826,359.12,-4.06,-1.37,6.7,3200.0
1776817609.414052,359.69,-5.94,7.37,6.9,3200.0
1776817609.6054757,1.75,-8.38,18.94,7.12,3200.0
1776817609.7329226,3.56,-11.5,15.81,7.08,3111.6
1776817609.923192,6.81,-9.63,12.5,7.53,907.1
1776817610.113489,9.19,-6.75,9.38,7.41,1456.9
1776817610.2397487,10.88,-5.12,5.44,7.56,900.3
1776817610.4311032,12.63,0.0,0.0,7.55,1074.5
1776817610.6204412,63.0,-5.06,3.5,7.53,1293.8
1776817610.922067,15.5,-7.19,12.38,6.87,3200.0
1776817611.0473666,16.25,-9.25,21.81,7.14,3200.0
1776817611.2383056,16.56,-11.63,20.56,7.12,3200.0
1776817611.4299145,81.0,-10.19,18.06,7.48,1292.8
1776817611.557752,16.75,-0.06,-0.06,7.52,1058.8
1776817611.9239066,15.5,-9.31,8.5,7.58,754.5
1776817612.113846,19.0,-10.44,5.12,7.58,838.0
1776817612.241268,15.81,-10.63,-0.06,6.75,3200.0
1776817612.4320276,18.19,-10.19,8.94,6.91,3200.0
1776817612.6219049,22.25,-10.81,17.69,7.07,3200.0
1776817612.751411,25.44,-12.5,13.44,7.19,2449.6
1776817612.9250062,29.12,-11.69,10.63,7.49,1372.4
1776817613.0531204,6.0,-9.19,8.38,7.46,1305.1
1776817613.2417383,32.88,-7.31,3.69,7.53,1138.1
1776817613.432101,35.44,-5.75,0.25,7.49,1034.2
1776817613.5593128,38.69,-4.5,-0.25,7.53,905.5
1776817613.7508981,63.0,-5.31,-0.94,6.81,3200.0
1776817613.9415672,41.56,-8.44,7.75,6.91,3200.0
1776817614.0680685,37.69,-7.56,16.12,7.1,3200.0
1776817614.2595675,31.62,-6.94,15.38,7.25,2552.9
1776817614.4498491,25.25,-3.81,14.44,7.49,992.1
1776817614.582163,20.87,-5.94,12.56,7.36,2012.1
1776817614.7669418,69.0,-7.87,7.75,7.52,955.5
1776817615.0830357,5.12,0.0,0.0,7.57,1033.9
1776817615.274114,358.94,-5.31,-2.56,6.74,3.0
1776817615.401782,81.0,-5.5,3.25,6.84,3200.0
1776817615.5906942,350.75,-4.0,17.31,7.13,3200.0
1776817615.7810066,347.81,-4.56,17.81,7.32,2039.6
1776817615.9075892,345.31,-1.75,15.75,7.28,2245.5
